trialsno;listlength;phase;Type;step;color;digit;nsubst;nrep;item0;item1;item2;item3
7;7;1;updating;4;3;9;2;0;7;6;3;9
7;7;1;updating;5;0;7;0;1;7;6;3;9
7;7;1;updating;6;2;4;3;0;7;6;4;9
7;7;1;updating;7;1;1;1;0;7;1;4;9
7;4;2;recall;1;0;7;0;1;7;1;4;9
7;4;2;recall;2;1;1;1;0;7;1;4;9
7;4;2;recall;3;2;4;3;0;7;1;4;9
7;4;2;recall;4;3;9;2;0;7;1;4;9
8;4;0;encoding;0;0;0;0;0;6;9;8;4
8;7;1;updating;1;3;4;0;1;6;9;8;4
8;7;1;updating;2;2;1;1;0;6;9;1;4
8;7;1;updating;3;0;2;1;0;2;9;1;4
8;7;1;updating;4;1;8;1;0;2;8;1;4
8;7;1;updating;5;0;3;2;0;3;8;1;4
8;7;1;updating;6;2;2;2;0;3;8;2;4
8;7;1;updating;7;3;6;1;1;3;8;2;6
8;4;2;recall;1;0;3;2;0;3;8;2;6
8;4;2;recall;2;1;8;1;0;3;8;2;6
8;4;2;recall;3;2;2;2;0;3;8;2;6
8;4;2;recall;4;3;6;1;1;3;8;2;6
9;4;0;encoding;0;0;0;0;0;7;2;9;4
9;7;1;updating;1;1;8;1;0;7;8;9;4
9;7;1;updating;2;0;5;1;0;5;8;9;4
9;7;1;updating;3;1;7;2;0;5;7;9;4
9;7;1;updating;4;0;3;2;0;3;7;9;4
9;7;1;updating;5;1;1;3;0;3;1;9;4
9;7;1;updating;6;0;2;3;0;2;1;9;4
9;7;1;updating;7;3;4;0;1;2;1;9;4
