trialsno;listlength;phase;type;step;shape;color;nsubst;nrep;item0;item1;item2;item3;item4
4;5;2;recall;1;0;4;2;0;4;5;8;2;1
4;5;2;recall;2;1;5;2;1;4;5;8;2;1
4;5;2;recall;3;2;8;2;1;4;5;8;2;1
4;5;2;recall;4;3;2;1;0;4;5;8;2;1
4;5;2;recall;5;4;1;1;0;4;5;8;2;1
5;5;0;encoding;0;0;0;0;0;6;8;5;2;1
5;0;1;updating;0;0;0;0;0;6;8;5;2;1
5;5;2;recall;1;0;6;0;0;6;8;5;2;1
5;5;2;recall;2;1;8;0;1;6;8;5;2;1
5;5;2;recall;3;2;5;0;1;6;8;5;2;1
5;5;2;recall;4;3;2;0;0;6;8;5;2;1
5;5;2;recall;5;4;1;0;0;6;8;5;2;1
6;5;0;encoding;0;0;0;0;0;3;6;1;9;7
6;10;1;updating;1;4;5;1;0;3;6;1;9;5
6;10;1;updating;2;3;4;1;0;3;6;1;4;5
6;10;1;updating;3;0;10;1;0;10;6;1;4;5
6;10;1;updating;4;3;2;2;0;10;6;1;2;5
6;10;1;updating;5;0;7;2;0;7;6;1;2;5
6;10;1;updating;6;3;9;3;0;7;6;1;9;5
6;10;1;updating;7;4;3;2;0;7;6;1;9;3
6;10;1;updating;8;3;9;3;1;7;6;1;9;3
6;10;1;updating;9;4;3;2;1;7;6;1;9;3
6;10;1;updating;10;1;10;1;0;7;10;1;9;3
6;5;2;recall;1;0;7;2;0;7;10;1;9;3
6;5;2;recall;2;1;10;1;0;7;10;1;9;3
6;5;2;recall;3;2;1;0;0;7;10;1;9;3
6;5;2;recall;4;3;9;3;1;7;10;1;9;3
6;5;2;recall;5;4;3;2;1;7;10;1;9;3
7;5;0;encoding;0;0;0;0;0;8;6;10;5;7
7;10;1;updating;1;1;3;1;0;8;3;10;5;7
7;10;1;updating;2;3;2;1;0;8;3;10;2;7
7;10;1;updating;3;1;4;2;0;8;4;10;2;7
7;10;1;updating;4;2;1;1;0;8;4;1;2;7
7;10;1;updating;5;3;10;2;0;8;4;1;10;7
7;10;1;updating;6;0;3;1;0;3;4;1;10;7
7;10;1;updating;7;1;8;3;0;3;8;1;10;7
