type,run,trial,phase,listType,gridRows,gridCols,stimulusCount,stimulusValue1,stimulusValueType1,stimulusGridPosition1,gridCellClass1,stimulusValue2,stimulusValueType2,stimulusGridPosition2,gridCellClass2,correctResponse,probeType,listSwitch,objectSwitch,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
1,6,4,2,2,1,2,2,trianglefilled.png,image,1,magentaCell,,text,2,magentaCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,5,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,6,2,2,1,2,2,halfsquareempty.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,7,2,2,1,2,2,,text,1,magentaCell,triangleempty.png,image,2,magentaCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,8,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,9,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,10,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,11,2,2,1,2,2,hexagonfilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,12,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,13,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
